,Name,Role,Real_Name,Attr,Gender,Race,Appearance
0,Romper_Stomper,Other characters,Romper Stomper,Uncategorized,Male,Unknown,Cartman's Silly Hate Crime 2000
1,Francis,Other characters,Francis,4th Graders,Male,Caucasian,Tom's Rhinoplasty
2,Thomas_Tucker,Other characters,Thomas Tucker,Uncategorized,Male,Unknown,Tweek vs. Craig
3,Peter_Mullen,Other characters,Peter Mullen,4th Graders,Male,Unknown,Mystery of the Urinal Deuce
4,Filmore_Anderson,Other characters,Filmore Anderson,Kindergartners,Male,Caucasian,Trapper Keeper
5,Tom_Thompson,Other characters,Tom Thompson,Uncategorized,Male,Unknown,Britney's New Look
6,Sally_Bands,Other characters,Sally Bands,Kindergartners,Female,Caucasian,Trapper Keeper
7,Principal_Victoria,Other characters,Principal Victoria,School Faculty,Female,Unknown,Pinkeye
8,Cornwallis_Hankey,Other characters,Cornwallis Hankey,Uncategorized,Male,Unknown,A Very Crappy Christmas
9,Kelly_P._Gardner,Other characters,Kelly P. Gardner,4th Graders,Female,Caucasian,Whale Whores
10,Jenny_(Kindergartner),Other characters,Jenny (kindergartener),Uncategorized,Female,Unknown,Trapper Keeper
11,"Kelly_(""Rainforest_Schmainforest"")",Other characters,Kelly,Uncategorized,Female,Unknown,Rainforest Shmainforest
12,Roger_Donovan,Other characters,Roger Donovan,Uncategorized,Male,Unknown,Red Hot Catholic Love
13,Mayor_McDaniels,Other characters,Mayor McDaniels,Uncategorized,Female,Unknown,Weight Gain 4000
14,Dougie_O%27Connell,Other characters,Dougie O\\\'Connell,Uncategorized,Male,Unknown,Two Guys Naked in a Hot Tub
15,Rick,Other characters,Rick,Uncategorized,Male,Unknown,"South Park: Bigger, Longer & Uncut"
16,Autumn_Hankey,Other characters,Autumn Hankey,Uncategorized,Female,Unknown,A Very Crappy Christmas
17,Harrison_Yates,Other characters,Harrison Yates,Uncategorized,Male,Caucasian,Christian Rock Hard
18,Kelly_Rutherford-Menskin,Other characters,Kelly Rutherford-Menskin,4th Graders,Female,Unknown,Quest for Ratings
19,Mr._Hat,Other characters,Mr. Hat,Monsters,Male,Unknown,Cartman Gets an Anal Probe
20,Woodland_Critters,Other characters,Woodland Critters,Monsters,Male,Unknown,Unknown
21,Richard_Adler,Other characters,Richard Adler,School Faculty,Male,Caucasian,Tweek vs. Craig
22,Officer_Barbrady,Other characters,Officer Barbrady,Uncategorized,Male,Unknown,Cartman Gets an Anal Probe
23,Bartender,Other characters,Bartender,Uncategorized,Male,Unknown,Big Gay Al's Big Gay Boat Ride
24,Damien_Thorn,Other characters,Damien Thorn,4th Graders,Male,Demon,Damien
25,Harriet_Biggle,Other characters,Mrs. Biggle,Uncategorized,Female,Caucasian,Raisins
26,Prince_and_Princess_of_Canada,Other characters,Prince and Princess of Canada,Uncategorized,Unknown,Caucasian,Royal Pudding
27,Pete_Melman,Other characters,Pete Melman,4th Graders,Male,Unknown,Dances with Smurfs
28,Karen_McCormick,Other characters,Karen McCormick,1st-3rd Graders,Female,Unknown,Best Friends Forever
29,Ned_Gerblanski,Other characters,Ned Gerblanski,Uncategorized,Male,Unknown,Volcano
30,Lemmiwinks,Other characters,Lemmiwinks,Animals,Male,Gerbil,The Death Camp of Tolerance
31,Jessie,Other characters,Jessie,4th Graders,Female,Unknown,Stupid Spoiled Whore Video Playset
32,Flora_Larsen,Other characters,Flora Larsen,Kindergartners,Female,Unknown,Trapper Keeper
33,Sheila_Broflovski,Other characters,Sheila Broflovski,Uncategorized,Female,Unknown,Death
34,Bill_Allen,Other characters,Bill Allen,4th Graders,Male,Unknown,Big Gay Al's Big Gay Boat Ride
35,Douglas,Other characters,Douglas,4th Graders,Male,Caucasian,Breast Cancer Show Ever
36,Herbert_Garrison,Other characters,Herbert Garrison,School Faculty,Male,Caucasian,The Unaired Pilot
37,Carol_McCormick,Other characters,Carol McCormick,Uncategorized,Female,Caucasian,Starvin' Marvin
38,Big_Gay_Al,Other characters,Big Gay Al,Uncategorized,Male,Unknown,Big Gay Al's Big Gay Boat Ride
39,Liane_Cartman,Other characters,Liane Cartman,Uncategorized,Female,Unknown,Cartman Gets an Anal Probe
40,Stuart_McCormick,Other characters,Stuart McCormick,Uncategorized,Male,Unknown,Starvin' Marvin
41,Santa_Claus,Other characters,Santa Claus,Uncategorized,Male,Caucasian,The Spirit of Christmas#Jesus vs. Frosty|The Spirit of Christmas: Jesus vs. Frosty
42,Polly_Prissypants,Other characters,Polly Prissypants,Monsters,Female,Unknown,Cartman's Mom is a Dirty Slut
43,Frog_King,Other characters,Frog King,Animals,Male,Frog,The Death Camp of Tolerance
44,Ike_Broflovski,Other characters,Ike Broflovski,Kindergartners,Male,White-Canadian,Cartman Gets an Anal Probe
45,Stephen_Stotch,Other characters,Stephen Stotch,Uncategorized,Male,Caucasian,Chickenlover
46,Fosse_McDonald,Other characters,Fosse McDonald,4th Graders,Male,Unknown,Big Gay Al's Big Gay Boat Ride
47,Simon_Hankey,Other characters,Simon Hankey,Uncategorized,Male,Unknown,A Very Crappy Christmas
